rank_by_high_bmi_internal_std_daly_rate,location_id,location_name,attr_number_30plus_high_bmi,attr_number_30plus_high_fpg,attr_number_30plus_smoking,internal_std_rate_30plus_high_bmi,internal_std_rate_30plus_high_fpg,internal_std_rate_30plus_smoking,paf_pct_30plus_high_bmi,paf_pct_30plus_high_fpg,paf_pct_30plus_smoking,sdi_mean,sdi_lower,sdi_upper,dominant_factor_by_internal_std_rate,high_bmi_vs_high_fpg_rate_ratio,high_bmi_vs_smoking_rate_ratio
1,29,Tonga,25.69585664019288,25.81228284034935,8.637642059004094,68.00137755232618,69.96998569449157,23.234339027186465,24.143419255348093,24.252811466008545,8.115791449504234,0.63599479,0.63599479,0.63599479,high_fpg,0.9718649629176588,2.926761870555382
2,369,Nauru,1.595230441676401,1.1568013094860476,0.6154704995870268,47.08881921155051,40.22720371086751,19.67244005865582,19.79348918974393,14.353496282287272,7.636707752003483,0.626371926,0.626371926,0.626371926,high_bmi,1.1705715254284332,2.393644055905081
3,320,Cook Islands,3.292607327952673,3.659238640512925,1.0314660176810482,38.88387258887584,42.87739054067109,12.084603276264504,28.280791580552066,31.42985331329985,8.85944558915804,0.777404869,0.777404869,0.777404869,high_fpg,0.9068619171680418,3.217637492928548
4,24,Marshall Islands,4.639536212821018,7.1839219383795605,1.4590239415511197,34.85300756486014,60.502591997533614,11.111570383338709,17.477267541208285,27.062042400973677,5.49618552497779,0.605458023,0.605458023,0.605458023,high_fpg,0.5760580896481414,3.136641029347268
5,416,Tuvalu,1.011213911095636,0.7231116949265506,0.379480335640931,23.48617245087863,17.89892222293504,9.063643503155218,12.871594463682891,9.204383352436563,4.830349873272636,0.611233842,0.611233842,0.611233842,high_bmi,1.3121556794511506,2.591250686625381
6,376,Northern Mariana Islands,4.812286077294886,5.767535945257172,1.6309459396059431,19.67856107486348,25.524005600224296,6.557081373986679,8.5698592664494,10.270996065310062,2.904436051621196,0.791104245,0.791104245,0.791104245,high_fpg,0.7709824775579328,3.00111588563358
7,298,American Samoa,4.61690776978626,5.3170956826138855,1.2949532000316,19.558895390626315,23.8216560679426,5.56807922022414,13.723763363767636,15.80507269567607,3.849249794567604,0.743030595,0.743030595,0.743030595,high_fpg,0.8210552337268949,3.512682671536951
8,374,Niue,0.1542367618539145,0.1776949412347029,0.0424863622478104,15.737637919125437,17.62985685053723,4.298724089331168,14.375805870958173,16.562251104966233,3.959987803791072,0.748490237,0.748490237,0.748490237,high_fpg,0.8926696372265704,3.661002100177597
9,413,Tokelau,0.1014894484028066,0.1247365018762101,0.0411249114537464,13.376741564372857,16.25358099586256,5.489307747816885,17.227464656762532,21.173567413153616,6.980804110492271,0.749948959,0.749948959,0.749948959,high_fpg,0.8230027319996731,2.436872221218209
10,380,Palau,1.3786654071614797,1.6738960039996271,0.5345762072599141,12.863163760087156,16.15566642261745,4.9257341265881385,8.120525156055344,9.859473182173916,3.1487259463632373,0.75589719,0.75589719,0.75589719,high_fpg,0.7962013713082805,2.6114206389367105
