year,age_key,population,population_projection_method
1990,20-24,181577429.54224837,observed proxy from D_total Number/Rate
1990,25-29,154721219.79026243,observed proxy from D_total Number/Rate
1990,30-34,127172552.7770907,observed proxy from D_total Number/Rate
1990,35-39,123227470.30648826,observed proxy from D_total Number/Rate
1990,40-44,91596410.8935344,observed proxy from D_total Number/Rate
1990,45-49,72073112.5923182,observed proxy from D_total Number/Rate
1990,50-54,65989164.164932854,observed proxy from D_total Number/Rate
1990,55-59,58523705.72479774,observed proxy from D_total Number/Rate
1990,60-64,47536319.41914552,observed proxy from D_total Number/Rate
1990,65-69,36174146.71154906,observed proxy from D_total Number/Rate
1990,70-74,24622731.93544395,observed proxy from D_total Number/Rate
1990,75-79,14925643.074271297,observed proxy from D_total Number/Rate
1990,80-84,7513700.088436775,observed proxy from D_total Number/Rate
1990,85-89,2870700.992421674,observed proxy from D_total Number/Rate
1990,90-94,656941.1799597089,observed proxy from D_total Number/Rate
1990,95+,149774.60246070885,observed proxy from D_total Number/Rate
1991,20-24,181553984.6457497,observed proxy from D_total Number/Rate
1991,25-29,164687255.15464908,observed proxy from D_total Number/Rate
1991,30-34,126388729.52611297,observed proxy from D_total Number/Rate
1991,35-39,127955565.0848802,observed proxy from D_total Number/Rate
1991,40-44,96925181.00702438,observed proxy from D_total Number/Rate
1991,45-49,74422242.06973991,observed proxy from D_total Number/Rate
1991,50-54,66153094.109176554,observed proxy from D_total Number/Rate
1991,55-59,59920844.95427458,observed proxy from D_total Number/Rate
1991,60-64,48856337.5062427,observed proxy from D_total Number/Rate
1991,65-69,37209381.03201875,observed proxy from D_total Number/Rate
1991,70-74,25399682.6848027,observed proxy from D_total Number/Rate
1991,75-79,15440612.280577604,observed proxy from D_total Number/Rate
1991,80-84,7755728.489998303,observed proxy from D_total Number/Rate
1991,85-89,3025013.8957409277,observed proxy from D_total Number/Rate
1991,90-94,732720.0987484582,observed proxy from D_total Number/Rate
1991,95+,161391.03648222217,observed proxy from D_total Number/Rate
1992,20-24,180338403.68856648,observed proxy from D_total Number/Rate
1992,25-29,172442602.32372075,observed proxy from D_total Number/Rate
1992,30-34,129156422.75069712,observed proxy from D_total Number/Rate
1992,35-39,130471693.77684812,observed proxy from D_total Number/Rate
1992,40-44,102157393.63793261,observed proxy from D_total Number/Rate
1992,45-49,77346547.27822764,observed proxy from D_total Number/Rate
1992,50-54,66430092.590409,observed proxy from D_total Number/Rate
1992,55-59,61008243.10257524,observed proxy from D_total Number/Rate
1992,60-64,50129391.12571522,observed proxy from D_total Number/Rate
1992,65-69,38220189.61342296,observed proxy from D_total Number/Rate
1992,70-74,26239028.33121622,observed proxy from D_total Number/Rate
1992,75-79,15958660.755619042,observed proxy from D_total Number/Rate
1992,80-84,8039065.484666614,observed proxy from D_total Number/Rate
1992,85-89,3168014.8396562627,observed proxy from D_total Number/Rate
1992,90-94,811189.3938549407,observed proxy from D_total Number/Rate
1992,95+,176279.0622346263,observed proxy from D_total Number/Rate
1993,20-24,178397002.63130236,observed proxy from D_total Number/Rate
1993,25-29,176940555.77170753,observed proxy from D_total Number/Rate
1993,30-34,136326806.48432723,observed proxy from D_total Number/Rate
1993,35-39,129750376.939637,observed proxy from D_total Number/Rate
1993,40-44,108974143.85549532,observed proxy from D_total Number/Rate
1993,45-49,79806630.97769772,observed proxy from D_total Number/Rate
1993,50-54,67077429.226726845,observed proxy from D_total Number/Rate
1993,55-59,61637266.48750179,observed proxy from D_total Number/Rate
1993,60-64,51296478.673067234,observed proxy from D_total Number/Rate
1993,65-69,39351913.274336316,observed proxy from D_total Number/Rate
1993,70-74,27133501.873880822,observed proxy from D_total Number/Rate
1993,75-79,16489127.606682694,observed proxy from D_total Number/Rate
1993,80-84,8301176.95755705,observed proxy from D_total Number/Rate
1993,85-89,3296585.9252059218,observed proxy from D_total Number/Rate
1993,90-94,877445.3771186701,observed proxy from D_total Number/Rate
1993,95+,191343.98938125823,observed proxy from D_total Number/Rate
1994,20-24,175496318.57263488,observed proxy from D_total Number/Rate
1994,25-29,178982269.36306933,observed proxy from D_total Number/Rate
1994,30-34,145920862.82052675,observed proxy from D_total Number/Rate
1994,35-39,126995212.78282717,observed proxy from D_total Number/Rate
