measure_id,measure_name,year,scenario,rate_mean,rate_lower,rate_median,rate_upper,reduction_fraction,scenario_note,period
1,Deaths,1990,Observed projection,2.055181427306303,2.020938299655937,2.055181427306303,2.089424554956669,0,BAPC total-burden continuation,Observed fit
1,Deaths,1991,Observed projection,2.0425327937174185,2.0143281965384356,2.0425327937174185,2.070737390896401,0,BAPC total-burden continuation,Observed fit
1,Deaths,1992,Observed projection,2.0330157994039593,2.0053010315603434,2.0330157994039593,2.060730567247575,0,BAPC total-burden continuation,Observed fit
1,Deaths,1993,Observed projection,2.027501248019006,2.0002890641212563,2.027501248019006,2.0547134319167566,0,BAPC total-burden continuation,Observed fit
1,Deaths,1994,Observed projection,2.0276302523454652,2.0007732880157434,2.0276302523454652,2.054487216675187,0,BAPC total-burden continuation,Observed fit
1,Deaths,1995,Observed projection,2.023572847686874,1.9970168043256709,2.023572847686874,2.0501288910480775,0,BAPC total-burden continuation,Observed fit
1,Deaths,1996,Observed projection,2.005576015411949,1.9794563486902483,2.005576015411949,2.0316956821336496,0,BAPC total-burden continuation,Observed fit
1,Deaths,1997,Observed projection,1.9755927520080367,1.9499974736614802,1.9755927520080367,2.001188030354593,0,BAPC total-burden continuation,Observed fit
1,Deaths,1998,Observed projection,1.951069894786369,1.925929860385782,1.951069894786369,1.976209929186956,0,BAPC total-burden continuation,Observed fit
1,Deaths,1999,Observed projection,1.9330361619675396,1.9083155912013083,1.9330361619675396,1.9577567327337708,0,BAPC total-burden continuation,Observed fit
1,Deaths,2000,Observed projection,1.914047951172521,1.8897169514912895,1.914047951172521,1.9383789508537526,0,BAPC total-burden continuation,Observed fit
1,Deaths,2001,Observed projection,1.8854370076814944,1.8615856533394908,1.8854370076814944,1.9092883620234977,0,BAPC total-burden continuation,Observed fit
1,Deaths,2002,Observed projection,1.8449694475016813,1.8217164855594967,1.8449694475016813,1.868222409443866,0,BAPC total-burden continuation,Observed fit
1,Deaths,2003,Observed projection,1.8049154513437529,1.7822427159861673,1.8049154513437529,1.8275881867013384,0,BAPC total-burden continuation,Observed fit
1,Deaths,2004,Observed projection,1.7752439196816443,1.7530719738086842,1.7752439196816443,1.7974158655546044,0,BAPC total-burden continuation,Observed fit
1,Deaths,2005,Observed projection,1.7529497175201,1.7311909984752105,1.7529497175201,1.7747084365649894,0,BAPC total-burden continuation,Observed fit
1,Deaths,2006,Observed projection,1.7500465400224925,1.7285634191384671,1.7500465400224925,1.7715296609065179,0,BAPC total-burden continuation,Observed fit
1,Deaths,2007,Observed projection,1.765462760118453,1.7441469354427144,1.765462760118453,1.7867785847941917,0,BAPC total-burden continuation,Observed fit
1,Deaths,2008,Observed projection,1.7874474157121838,1.7661959225094395,1.7874474157121838,1.8086989089149283,0,BAPC total-burden continuation,Observed fit
1,Deaths,2009,Observed projection,1.7857668769785398,1.7647886598901337,1.7857668769785398,1.806745094066946,0,BAPC total-burden continuation,Observed fit
1,Deaths,2010,Observed projection,1.7659986700419783,1.7454401209815913,1.7659986700419783,1.7865572191023653,0,BAPC total-burden continuation,Observed fit
1,Deaths,2011,Observed projection,1.7342528162534532,1.7141916783089655,1.7342528162534532,1.754313954197941,0,BAPC total-burden continuation,Observed fit
1,Deaths,2012,Observed projection,1.7098014330335243,1.6901605986169397,1.7098014330335243,1.7294422674501089,0,BAPC total-burden continuation,Observed fit
1,Deaths,2013,Observed projection,1.6907665029721188,1.6714933457306667,1.6907665029721188,1.710039660213571,0,BAPC total-burden continuation,Observed fit
1,Deaths,2014,Observed projection,1.6977718417714651,1.6787145652193096,1.6977718417714651,1.7168291183236206,0,BAPC total-burden continuation,Observed fit
1,Deaths,2015,Observed projection,1.7089851172402974,1.6900860851387374,1.7089851172402974,1.7278841493418575,0,BAPC total-burden continuation,Observed fit
1,Deaths,2016,Observed projection,1.7233880475820307,1.7045924099289775,1.7233880475820307,1.7421836852350838,0,BAPC total-burden continuation,Observed fit
1,Deaths,2017,Observed projection,1.7097838433953703,1.691310464006512,1.7097838433953703,1.7282572227842288,0,BAPC total-burden continuation,Observed fit
1,Deaths,2018,Observed projection,1.6641082072936777,1.6462616398941448,1.6641082072936777,1.6819547746932106,0,BAPC total-burden continuation,Observed fit
1,Deaths,2019,Observed projection,1.6108420799138639,1.593574610518637,1.6108420799138639,1.628109549309091,0,BAPC total-burden continuation,Observed fit
1,Deaths,2020,Observed projection,1.578708285298204,1.5617574564813073,1.578708285298204,1.5956591141151009,0,BAPC total-burden continuation,Observed fit
1,Deaths,2021,Observed projection,1.6014724856367748,1.5846392488514867,1.6014724856367748,1.618305722422063,0,BAPC total-burden continuation,Observed fit
1,Deaths,2022,Observed projection,1.6464694317415225,1.629338752383293,1.6464694317415225,1.6636001110997518,0,BAPC total-burden continuation,Observed fit
1,Deaths,2023,Observed projection,1.6110633190835246,1.5924046309842217,1.6110633190835246,1.6297220071828278,0,BAPC total-burden continuation,Observed fit
1,Deaths,2024,Observed projection,1.6045482408163247,1.5391860011850795,1.6045482408163247,1.66991048044757,0,BAPC total-burden continuation,Projected
1,Deaths,2025,Observed projection,1.5911552003898097,1.4689741743144964,1.5911552003898097,1.713336226465123,0,BAPC total-burden continuation,Projected
1,Deaths,2026,Observed projection,1.5788636210321594,1.3888549188003607,1.5788636210321594,1.768872323263958,0,BAPC total-burden continuation,Projected
1,Deaths,2027,Observed projection,1.56718442978246,1.3009318975544852,1.56718442978246,1.8334369620104347,0,BAPC total-burden continuation,Projected
1,Deaths,2028,Observed projection,1.55554444028045,1.2059637102675447,1.55554444028045,1.9051251702933552,0,BAPC total-burden continuation,Projected
1,Deaths,2029,Observed projection,1.544606769077443,1.105176629315817,1.544606769077443,1.9840369088390692,0,BAPC total-burden continuation,Projected
1,Deaths,2030,Observed projection,1.534368299378559,0.9992364507563747,1.534368299378559,2.0695001480007433,0,BAPC total-burden continuation,Projected
1,Deaths,2031,Observed projection,1.5249693627523102,0.8887350659632324,1.5249693627523102,2.161203659541388,0,BAPC total-burden continuation,Projected
1,Deaths,2032,Observed projection,1.5160093713369975,0.773837285049597,1.5160093713369975,2.258181457624398,0,BAPC total-burden continuation,Projected
