year,age_key,population,internal_proxy_population_2023,relative_difference_vs_internal_2023_pct
2023,20-24,139724164,131749697.5566825,6.052739847760682
2023,25-29,147336604,139696327.26449484,5.4692037257639585
2023,30-34,172429014,168364801.39735228,2.4139324662379438
2023,35-39,170940654,175975858.43011886,-2.8613040874117233
2023,40-44,153608622,146041571.45187494,5.18143599311969
2023,45-49,148110309,149727843.74405357,-1.0803165955015048
2023,50-54,168614773,164412029.64128557,2.5562261884875355
2023,55-59,154623997,158690707.40123406,-2.5626644860507035
2023,60-64,108534821,115454879.15522063,-5.993733834251488
2023,65-69,101930535,102279276.13948205,-0.340969502958214
2023,70-74,75942341,78450201.79620078,-3.196755060892952
2023,75-79,44270382,47292203.690509714,-6.389682558007152
2023,80-84,26366527,28544607.78563273,-7.6304456589136125
2023,85-89,13624155,15615216.903292721,-12.750779676155977
2023,90-94,4511944,5900606.059086778,-23.534227589185946
2023,95+,867672,1778940.7581121721,-51.225357222081904
2024,20-24,139286971,131749697.5566825,NA
2024,25-29,144541996,139696327.26449484,NA
2024,30-34,166198520,168364801.39735228,NA
2024,35-39,175333247,175975858.43011886,NA
2024,40-44,156103746,146041571.45187494,NA
2024,45-49,144434101,149727843.74405357,NA
2024,50-54,166044941,164412029.64128557,NA
2024,55-59,156054747,158690707.40123406,NA
2024,60-64,118824875,115454879.15522063,NA
2024,65-69,100935362,102279276.13948205,NA
2024,70-74,80323237,78450201.79620078,NA
2024,75-79,47121627,47292203.690509714,NA
2024,80-84,26993753,28544607.78563273,NA
2024,85-89,13836370,15615216.903292721,NA
2024,90-94,4740135,5900606.059086778,NA
2024,95+,914518,1778940.7581121721,NA
2025,20-24,138867688,131749697.5566825,NA
2025,25-29,142569168,139696327.26449484,NA
2025,30-34,158636335,168364801.39735228,NA
2025,35-39,179591615,175975858.43011886,NA
2025,40-44,158864553,146041571.45187494,NA
2025,45-49,143374084,149727843.74405357,NA
2025,50-54,161530984,164412029.64128557,NA
2025,55-59,158718652,158690707.40123406,NA
2025,60-64,129409068,115454879.15522063,NA
2025,65-69,97891614,102279276.13948205,NA
2025,70-74,84176422,78450201.79620078,NA
2025,75-79,50767606,47292203.690509714,NA
2025,80-84,27864676,28544607.78563273,NA
2025,85-89,14143421,15615216.903292721,NA
2025,90-94,4999599,5900606.059086778,NA
2025,95+,978159,1778940.7581121721,NA
2026,20-24,138839386,131749697.5566825,NA
2026,25-29,141044167,139696327.26449484,NA
2026,30-34,152613255,168364801.39735228,NA
2026,35-39,180508493,175975858.43011886,NA
2026,40-44,162145343,146041571.45187494,NA
2026,45-49,144377744,149727843.74405357,NA
2026,50-54,156038035,164412029.64128557,NA
2026,55-59,161213001,158690707.40123406,NA
2026,60-64,140219963,115454879.15522063,NA
2026,65-69,94686102,102279276.13948205,NA
2026,70-74,87070780,78450201.79620078,NA
2026,75-79,54747052,47292203.690509714,NA
2026,80-84,29006947,28544607.78563273,NA
2026,85-89,14586791,15615216.903292721,NA
2026,90-94,5260320,5900606.059086778,NA
2026,95+,1044130,1778940.7581121721,NA
2027,20-24,139859055,131749697.5566825,NA
2027,25-29,139539154,139696327.26449484,NA
2027,30-34,149231142,168364801.39735228,NA
2027,35-39,176622252,175975858.43011886,NA
2027,40-44,165538828,146041571.45187494,NA
2027,45-49,147817292,149727843.74405357,NA
2027,50-54,150526600,164412029.64128557,NA
2027,55-59,163505063,158690707.40123406,NA
2027,60-64,146680074,115454879.15522063,NA
2027,65-69,94609599,102279276.13948205,NA
2027,70-74,89508036,78450201.79620078,NA
2027,75-79,59090341,47292203.690509714,NA
2027,80-84,30562950,28544607.78563273,NA
2027,85-89,15065485,15615216.903292721,NA
