rank_by_avoidable_dalys,location_id,location_name,population_20plus,avoidable_number_main_dalys,avoidable_number_main_lower_dalys,avoidable_number_main_upper_dalys,avoidable_daly_rate_per_100k_20plus,avoidable_pct_of_total_burden_main_dalys,avoidable_pct_of_observed_highbmi_attr_main_dalys
1,6,China,1097983988.0786433,1153.3024419018689,305.22421364415374,2843.126116952432,0.10503818401942519,0.3273471388371367,7.204197208392504
2,11,Indonesia,197528457.8278283,492.0961226437911,58.74212486420121,2074.7141623237167,0.24912669701128168,0.2938437897355332,20.84648529359008
3,18,Thailand,52665202.77456117,460.05826530924696,59.50497771053404,1658.3213984540268,0.8735526326150758,0.7570643324829638,19.88112156607558
4,13,Malaysia,23773606.99089723,187.92583032427615,31.06661493770787,601.7539119553963,0.7904809328943303,1.358702172992649,19.82956216029085
5,16,Philippines,70277651.75627588,161.83543593432125,32.74411748081764,485.7934447153186,0.23028008462145175,0.6808971883467798,21.6499227750071
6,15,Myanmar,36425118.575830795,83.74115508553912,7.211086052740126,391.0196602207795,0.2298994714628163,0.4151103167342971,31.060154987580084
7,20,Viet Nam,70944210.70067607,72.23052527497633,9.700213149669551,314.0815378483253,0.10181313536593903,0.2321082091266615,16.0726488377505
8,8,Taiwan,19435165.51084975,50.58873685555278,10.809511539535135,151.57326610200687,0.2602948599913463,0.3929607371638288,6.729339561045743
9,17,Sri Lanka,15962623.274750927,42.5597872919448,6.2895008650418855,150.2837430141836,0.26662151050864086,0.8490876786635021,31.425201669095905
10,7,Democratic People's Republic of Korea,19895024.609391384,29.48124652629577,3.632523178692012,118.42751651245923,0.14818401638155923,0.3916789707298825,8.065858596231633
11,10,Cambodia,10676020.071228107,22.740046610218208,1.5159462623084343,118.2402131338756,0.21300116015613976,0.5411018994399999,37.86364025653364
12,26,Papua New Guinea,5860845.960979017,14.225532902831045,2.0915187272588867,50.28422963328008,0.24272149443174856,0.7576955435754147,8.774622581566371
13,12,Lao People's Democratic Republic,4558085.877322754,8.801270530841045,0.8659828658134312,37.38100087900532,0.19309137141598956,0.4242677534842201,21.24781854061991
14,22,Fiji,583065.3858940509,6.776731826380861,1.4463064474013054,18.479004913998985,1.162259326368632,1.9752400290034229,15.722846778414516
15,29,Tonga,57238.69512220295,2.1975974495195474,0.5950325059035578,4.795942082732181,3.8393563040312864,2.0124992942800297,8.437848161595491
16,28,Solomon Islands,456063.5743127903,1.7048263618107768,0.2242524085635532,6.363482747782914,0.3738133141590311,0.3950159513912604,6.865579995587678
17,183,Mauritius,989066.248836878,1.3805583758245206,0.2361916852684422,4.975484404654208,0.13958199235370022,0.3008197698345037,19.260520750824103
18,14,Maldives,397297.5850032146,0.8369435773711702,0.1263259292784702,2.899163749848732,0.21065911522326478,0.9613601378731476,17.561444027819846
19,30,Vanuatu,177587.4449384936,0.7047598621760868,0.1087686841249499,2.401162501736787,0.39685230136633604,0.5790644257878541,10.682558415136068
20,27,Samoa,114563.89655610402,0.6166590441565587,0.0919811958156115,2.0767281595123253,0.5382664719810482,0.770323943793856,9.152644243478775
21,23,Kiribati,72668.90328973322,0.6064669094217776,0.1061874834768459,1.8377164609951016,0.8345618028715458,1.2595614594460345,16.64302319280306
22,24,Marshall Islands,23576.21298657162,0.4875637518926559,0.0902963047507963,1.454725673660004,2.0680325214671207,1.7670467025702044,10.365518501982926
23,25,Micronesia (Federated States of),62639.346209809,0.3964974649906501,0.0604485889615696,1.4374533136172225,0.6329846797292412,0.5592158996332833,14.729005137290525
24,298,American Samoa,30547.910840435925,0.3434317277500943,0.0725864457750367,0.9056006591184752,1.124239656007826,0.9799254805762616,7.277376627851757
25,376,Northern Mariana Islands,33102.23012546578,0.3319710284395639,0.0626992897305477,0.9622320864936832,1.002866052170232,0.5659397344318321,6.773539437858081
26,19,Timor-Leste,765392.6072831368,0.3278569722921275,0.0354283358050363,1.7595404968510835,0.042835137048932256,0.1532597854496304,18.228404470375324
27,186,Seychelles,76184.53829758406,0.2056272761035051,0.0259393767176041,0.8182380087953266,0.26990683503298973,0.3470607577926723,10.318751948709677
28,351,Guam,110984.247240527,0.1637448004124444,0.0420967980775711,0.4394932829285689,0.1475387764333562,0.1292754664490323,1.7047052466134645
29,416,Tuvalu,6616.141026591107,0.1243264149288846,0.0227923299337957,0.3531391695998738,1.879137920869598,1.5132025202516777,12.05733762892393
30,369,Nauru,6621.975974245357,0.1203962908558061,0.0267629611797673,0.2978881031494036,1.8181324022324996,1.3938887639024065,7.285840838480293
31,380,Palau,13570.46427976271,0.1025865537582199,0.0199410880296234,0.2999095678976545,0.7559546353266973,0.5835611015691708,7.347417704207471
32,320,Cook Islands,9760.308064241746,0.1016230651918133,0.0276687085155995,0.2240168724047611,1.0411870662579146,0.8604854317181643,3.0476216276097907
33,374,Niue,1165.79479060576,0.0134354057497849,0.0028039313149002,0.0369401886273454,1.1524674718098298,1.206285561144304,8.514629922891757
34,413,Tokelau,1053.6543270941966,0.0039469262394677,0.0007537377620389,0.0107935971542563,0.3745940331638618,0.6433538092191089,3.813301136839075
