location_id,location_name,sex_name,age_group_id,age_group_name,year_id,sample_size,age_sex_split,outlier
8,Taiwan,Male,9,20 to 24,2023,673739.2156120678,yes,no
8,Taiwan,Male,10,25 to 29,2023,800346.6397102452,yes,no
8,Taiwan,Male,11,30 to 34,2023,820194.3480881818,yes,no
8,Taiwan,Male,12,35 to 39,2023,819761.7860004702,yes,no
8,Taiwan,Male,13,40 to 44,2023,977278.7601511992,yes,no
8,Taiwan,Male,14,45 to 49,2023,916299.0656363572,yes,no
8,Taiwan,Male,15,50 to 54,2023,852765.4044659223,yes,no
8,Taiwan,Male,16,55 to 59,2023,859737.8700654444,yes,no
8,Taiwan,Male,17,60 to 64,2023,838876.7445781073,yes,no
8,Taiwan,Male,18,65 to 69,2023,723448.7529575924,yes,no
8,Taiwan,Male,19,70 to 74,2023,554585.9512290182,yes,no
8,Taiwan,Male,20,75 to 79,2023,280989.23039012065,yes,no
8,Taiwan,Male,30,80 to 84,2023,197815.86619824023,yes,no
8,Taiwan,Male,31,85 to 89,2023,102241.3250465094,yes,no
8,Taiwan,Male,32,90 to 94,2023,47627.18351253175,yes,no
8,Taiwan,Male,235,95 plus,2023,17888.252751919157,yes,yes
8,Taiwan,Female,9,20 to 24,2023,617993.8972783707,yes,no
8,Taiwan,Female,10,25 to 29,2023,742967.6642045001,yes,no
8,Taiwan,Female,11,30 to 34,2023,761419.8094583683,yes,no
8,Taiwan,Female,12,35 to 39,2023,802636.8489435163,yes,no
8,Taiwan,Female,13,40 to 44,2023,1002932.4254806866,yes,no
8,Taiwan,Female,14,45 to 49,2023,956665.1195209807,yes,no
8,Taiwan,Female,15,50 to 54,2023,896693.9772172293,yes,no
8,Taiwan,Female,16,55 to 59,2023,903631.9968933832,yes,no
8,Taiwan,Female,17,60 to 64,2023,899818.8066219147,yes,no
8,Taiwan,Female,18,65 to 69,2023,801650.9083194208,yes,no
8,Taiwan,Female,19,70 to 74,2023,640485.7074190037,yes,no
8,Taiwan,Female,20,75 to 79,2023,350441.69123478216,yes,no
8,Taiwan,Female,30,80 to 84,2023,277782.1200729596,yes,no
8,Taiwan,Female,31,85 to 89,2023,167280.6341101383,yes,no
8,Taiwan,Female,32,90 to 94,2023,72313.21597698901,yes,no
8,Taiwan,Female,235,95 plus,2023,23889.925675222927,yes,yes
13,Malaysia,Male,9,20 to 24,2023,1568306.5807135731,yes,no
13,Malaysia,Male,10,25 to 29,2023,1690923.729341486,yes,no
13,Malaysia,Male,11,30 to 34,2023,1689684.1414329358,yes,no
13,Malaysia,Male,12,35 to 39,2023,1595244.4118538366,yes,no
13,Malaysia,Male,13,40 to 44,2023,1302253.082904431,yes,no
13,Malaysia,Male,14,45 to 49,2023,1011924.2710258194,yes,no
13,Malaysia,Male,15,50 to 54,2023,871771.207838448,yes,no
13,Malaysia,Male,16,55 to 59,2023,775502.2852506534,yes,no
13,Malaysia,Male,17,60 to 64,2023,671461.7582567568,yes,no
13,Malaysia,Male,18,65 to 69,2023,516813.1235487573,yes,no
13,Malaysia,Male,19,70 to 74,2023,358738.0768254104,yes,no
