project_location_name,gbd_mortality_input_sample_size_20plus_2023,mortality_input_rows_20plus,mortality_input_outlier_rows_20plus,mortality_input_nonoutlier_rows_20plus,gbd_mortality_input_nonoutlier_sample_size_20plus_2023,wpp_location_name,wpp_exposure_20plus,internal_proxy_population_20plus_2023,gbd_mortality_input_available_2023,relative_difference_mortality_input_sample_size_vs_wpp_exposure_pct,relative_difference_internal_proxy_vs_wpp_exposure_pct
American Samoa,30547.91084043593,32.0,32.0,0.0,,American Samoa,30151.0,30547.910840435925,True,1.3164102034291683,1.3164102034291563
Cambodia,,,,,,Cambodia,10578808.0,10676020.071228107,False,,0.9189321824170307
China,,,,,,China,1105322076.0,1097983988.078643,False,,-0.6638868507822073
Cook Islands,,,,,,Cook Islands,9738.999999999998,9760.308064241746,False,,0.2187910898629025
Democratic People's Republic of Korea,,,,,,Dem. People's Republic of Korea,19743508.0,19895024.609391384,False,,0.7674249651651764
Fiji,,,,,,Fiji,591265.0,583065.3858940509,False,,-1.3867917272202923
Guam,111080.98347518117,32.0,3.0,29.0,110736.14702927449,Guam,111466.0,110984.247240527,True,-0.3454116275983957,-0.432197046160269
Indonesia,,,,,,Indonesia,188014036.0,197528457.8278283,False,,5.060484860730444
Kiribati,,,,,,Kiribati,74597.0,72668.90328973322,False,,-2.584683982287194
Lao People's Democratic Republic,,,,,,Lao People's Democratic Republic,4595166.0,4558085.877322754,False,,-0.8069376095933447
Malaysia,23773606.99089723,32.0,6.0,26.0,23584189.89805652,Malaysia,24374170.000000004,23773606.99089723,True,-2.4639321425212546,-2.4639321425212546
Maldives,,,,,,Maldives,391084.0,397297.5850032146,False,,1.5888108445281823
Marshall Islands,,,,,,Marshall Islands,21373.0,23576.21298657162,False,,10.308393705009216
Mauritius,988749.9292027594,32.0,0.0,32.0,988749.9292027594,Mauritius,992906.0,989066.248836878,True,-0.41857646113938224,-0.3867184973322763
Micronesia (Federated States of),,,,,,Micronesia (Fed. States of),65230.00000000001,62639.346209809,False,,-3.9715679751510113
Myanmar,,,,,,Myanmar,36445979.0,36425118.5758308,False,,-0.05723655871391924
Nauru,,,,,,Nauru,6258.0,6621.975974245357,False,,5.816170889187553
Niue,,,,,,Niue,1241.0,1165.79479060576,False,,-6.0600491050958905
Northern Mariana Islands,33102.23012546579,32.0,10.0,22.0,32604.149373846183,Northern Mariana Islands,31598.0,33102.23012546578,True,4.760523214968628,4.760523214968605
Palau,13570.46427976271,32.0,4.0,28.0,13556.450403331093,Palau,13282.0,13570.46427976271,True,2.171843696451659,2.171843696451659
Papua New Guinea,,,,,,Papua New Guinea,5844814.0,5860845.960979017,False,,0.27429377528553395
Philippines,70279580.08290395,32.0,2.0,30.0,70255081.53716531,Philippines,70933722.0,70277651.75627588,True,-0.9221874993336012,-0.9249059900228028
Samoa,,,,,,Samoa,112608.0,114563.89655610402,False,,1.7369072855427892
Seychelles,76150.28277511433,32.0,2.0,30.0,76073.91834964407,Seychelles,93574.0,76184.53829758406,True,-18.620254798219236,-18.583646848928055
Solomon Islands,,,,,,Solomon Islands,418750.0,456063.5743127903,False,,8.91070431350216
Sri Lanka,15779916.64813759,32.0,6.0,26.0,15595474.75235224,Sri Lanka,16040770.0,15962623.274750927,True,-1.6261897144738695,-0.48717564835773186
Taiwan,19402201.144821394,32.0,2.0,30.0,19360422.966394253,"China, Taiwan Province of China",19509986.0,19435165.51084975,True,-0.5524599309225837,-0.38349842562802694
Thailand,52665202.774561174,32.0,2.0,30.0,52547406.69819649,Thailand,56523784.0,52665202.77456117,True,-6.826473658307848,-6.826473658307861
Timor-Leste,,,,,,Timor-Leste,753839.0,765392.6072831368,False,,1.5326359186957437
Tokelau,,,,,,Tokelau,1495.0,1053.6543270941966,False,,-29.521449692695885
Tonga,,,,,,Tonga,56682.0,57238.69512220295,False,,0.9821374020023163
Tuvalu,6614.432461583039,30.0,6.0,24.0,6527.633668686074,Tuvalu,5882.0,6616.141026591107,True,12.452098972850036,12.481146320828072
Vanuatu,,,,,,Vanuatu,166327.0,177587.4449384936,False,,6.770064354250123
Viet Nam,,,,,,Viet Nam,69560348.0,70944210.70067607,False,,1.9894418881804166
