"major_group","sub_group","file_name","file_path","url","description"
"CSV format","Notes",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Locations_notes.csv","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Locations_notes.csv","Location notes."
"CSV format","Demographic Indicators",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Demographic_Indicators_notes.csv","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Demographic_Indicators_notes.csv","Demographic Indicators: Total Population, as of 1 January (thousands) Total Population, as of 1 July (thousands) Male Population, as of 1 July (thousands) Female Population, as of 1 July (thousands) Population Density, as of 1 July (persons per square km) Population Sex Ratio, as of 1 July (males per 100 females) Median Age, as of 1 July (years) Natural Change, Births minus Deaths (thousands) Rate of Natural Change (per 1,000 population) Population Change (thousands) Population Growth Rate (percentage) Population Annual Doubling Time (years) Births (thousands) Births by women aged 15 to 19 (thousands) Crude Birth Rate (births per 1,000 population) Total Fertility Rate (live births per woman) Net Reproduction Rate (surviving daughters per woman) Mean Age Childbearing (years) Sex Ratio at Birth (males per 100 female births) Total Deaths (thousands) Male Deaths (thousands) Female Deaths (thousands) Crude Death Rate (deaths per 1,000 population) Life Expectancy at Birth, both sexes (years) Male Life Expectancy at Birth (years) Female Life Expectancy at Birth (years) Life Expectancy at Age 15, both sexes (years) Male Life Expectancy at Age 15 (years) Female Life Expectancy at Age 15 (years) Life Expectancy at Age 65, both sexes (years) Male Life Expectancy at Age 65 (years) Female Life Expectancy at Age 65 (years) Life Expectancy at Age 80, both sexes (years) Male Life Expectancy at Age 80 (years) Female Life Expectancy at Age 80 (years) Infant Deaths, under age 1 (thousands) Infant Mortality Rate (infant deaths per 1,000 live births) Live births Surviving to Age 1 (thousands) Deaths under age 5 (thousands) Under-five Mortality Rate (deaths under age 5 per 1,000 live births) Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births) Male mortality before Age 40 (deaths under age 40 per 1,000 male live births) Female mortality before Age 40 (deaths under age 40 per 1,000 female live births) Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births) Male mortality before Age 60 (deaths under age 60 per 1,000 male live births) Female mortality before Age 60 (deaths under age 60 per 1,000 female live births) Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15) Male mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15) Female mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15) Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15) Male mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15) Female mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15) Net Number of Migrants (thousands) Net Migration Rate (per 1,000 population)"
"CSV format","Demographic Indicators",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Demographic_Indicators_Medium.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Demographic_Indicators_Medium.csv.gz","Demographic Indicators: Total Population, as of 1 January (thousands) Total Population, as of 1 July (thousands) Male Population, as of 1 July (thousands) Female Population, as of 1 July (thousands) Population Density, as of 1 July (persons per square km) Population Sex Ratio, as of 1 July (males per 100 females) Median Age, as of 1 July (years) Natural Change, Births minus Deaths (thousands) Rate of Natural Change (per 1,000 population) Population Change (thousands) Population Growth Rate (percentage) Population Annual Doubling Time (years) Births (thousands) Births by women aged 15 to 19 (thousands) Crude Birth Rate (births per 1,000 population) Total Fertility Rate (live births per woman) Net Reproduction Rate (surviving daughters per woman) Mean Age Childbearing (years) Sex Ratio at Birth (males per 100 female births) Total Deaths (thousands) Male Deaths (thousands) Female Deaths (thousands) Crude Death Rate (deaths per 1,000 population) Life Expectancy at Birth, both sexes (years) Male Life Expectancy at Birth (years) Female Life Expectancy at Birth (years) Life Expectancy at Age 15, both sexes (years) Male Life Expectancy at Age 15 (years) Female Life Expectancy at Age 15 (years) Life Expectancy at Age 65, both sexes (years) Male Life Expectancy at Age 65 (years) Female Life Expectancy at Age 65 (years) Life Expectancy at Age 80, both sexes (years) Male Life Expectancy at Age 80 (years) Female Life Expectancy at Age 80 (years) Infant Deaths, under age 1 (thousands) Infant Mortality Rate (infant deaths per 1,000 live births) Live births Surviving to Age 1 (thousands) Deaths under age 5 (thousands) Under-five Mortality Rate (deaths under age 5 per 1,000 live births) Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births) Male mortality before Age 40 (deaths under age 40 per 1,000 male live births) Female mortality before Age 40 (deaths under age 40 per 1,000 female live births) Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births) Male mortality before Age 60 (deaths under age 60 per 1,000 male live births) Female mortality before Age 60 (deaths under age 60 per 1,000 female live births) Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15) Male mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15) Female mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15) Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15) Male mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15) Female mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15) Net Number of Migrants (thousands) Net Migration Rate (per 1,000 population)"
"CSV format","Demographic Indicators",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Demographic_Indicators_OtherVariants.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Demographic_Indicators_OtherVariants.csv.gz","Demographic Indicators: Total Population, as of 1 January (thousands) Total Population, as of 1 July (thousands) Male Population, as of 1 July (thousands) Female Population, as of 1 July (thousands) Population Density, as of 1 July (persons per square km) Population Sex Ratio, as of 1 July (males per 100 females) Median Age, as of 1 July (years) Natural Change, Births minus Deaths (thousands) Rate of Natural Change (per 1,000 population) Population Change (thousands) Population Growth Rate (percentage) Population Annual Doubling Time (years) Births (thousands) Births by women aged 15 to 19 (thousands) Crude Birth Rate (births per 1,000 population) Total Fertility Rate (live births per woman) Net Reproduction Rate (surviving daughters per woman) Mean Age Childbearing (years) Sex Ratio at Birth (males per 100 female births) Total Deaths (thousands) Male Deaths (thousands) Female Deaths (thousands) Crude Death Rate (deaths per 1,000 population) Life Expectancy at Birth, both sexes (years) Male Life Expectancy at Birth (years) Female Life Expectancy at Birth (years) Life Expectancy at Age 15, both sexes (years) Male Life Expectancy at Age 15 (years) Female Life Expectancy at Age 15 (years) Life Expectancy at Age 65, both sexes (years) Male Life Expectancy at Age 65 (years) Female Life Expectancy at Age 65 (years) Life Expectancy at Age 80, both sexes (years) Male Life Expectancy at Age 80 (years) Female Life Expectancy at Age 80 (years) Infant Deaths, under age 1 (thousands) Infant Mortality Rate (infant deaths per 1,000 live births) Live births Surviving to Age 1 (thousands) Deaths under age 5 (thousands) Under-five Mortality Rate (deaths under age 5 per 1,000 live births) Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births) Male mortality before Age 40 (deaths under age 40 per 1,000 male live births) Female mortality before Age 40 (deaths under age 40 per 1,000 female live births) Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births) Male mortality before Age 60 (deaths under age 60 per 1,000 male live births) Female mortality before Age 60 (deaths under age 60 per 1,000 female live births) Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15) Male mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15) Female mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15) Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15) Male mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15) Female mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15) Net Number of Migrants (thousands) Net Migration Rate (per 1,000 population)"
"CSV format","Fertility",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Fertility_by_Age1.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Fertility_by_Age1.csv.gz","Age-specific Fertility Rate (ASFR) Percent Age-specific Fertility Rate (PASFR) Births (thousands)"
"CSV format","Fertility",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Fertility_by_Age5.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Fertility_by_Age5.csv.gz","Age-specific Fertility Rate (ASFR) Percent Age-specific Fertility Rate (PASFR) Births (thousands)"
"CSV format","Life Tables",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Life_Table_Abridged_Medium_1950-2023.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Life_Table_Abridged_Medium_1950-2023.csv.gz","Abridged life tables up to age 100 by sex and both sexes combined providing a set of values showing the mortality experience of a hypothetical group of infants born at the same time and subject throughout their lifetime to the specific mortality rates of a given year, from 1950 to 2100. Only medium is available. mx: Central death rate, nmx, for the age interval (x, x+n) qx: Probability of dying (nqx), for an individual between age x and x+n px: Probability of surviving, (npx), for an individual of age x to age x+n lx: Number of survivors, (lx), at age (x) for 100000 births dx: Number of deaths, (ndx), between ages x and x+n Lx: Number of person-years lived, (nLx), between ages x and x+n Sx: Survival ratio (nSx) corresponding to proportion of the life table population in age group (x, x+n) who are alive n year later Tx: Person-years lived, (Tx), above age x ex: Expectation of life (ex) at age x, i.e., average number of years lived subsequent to age x by those reaching age x ax: Average number of years lived (nax) between ages x and x+n by those dying in the interval"
"CSV format","Life Tables",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Life_Table_Abridged_Medium_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Life_Table_Abridged_Medium_2024-2100.csv.gz","Abridged life tables up to age 100 by sex and both sexes combined providing a set of values showing the mortality experience of a hypothetical group of infants born at the same time and subject throughout their lifetime to the specific mortality rates of a given year, from 1950 to 2100. Only medium is available. mx: Central death rate, nmx, for the age interval (x, x+n) qx: Probability of dying (nqx), for an individual between age x and x+n px: Probability of surviving, (npx), for an individual of age x to age x+n lx: Number of survivors, (lx), at age (x) for 100000 births dx: Number of deaths, (ndx), between ages x and x+n Lx: Number of person-years lived, (nLx), between ages x and x+n Sx: Survival ratio (nSx) corresponding to proportion of the life table population in age group (x, x+n) who are alive n year later Tx: Person-years lived, (Tx), above age x ex: Expectation of life (ex) at age x, i.e., average number of years lived subsequent to age x by those reaching age x ax: Average number of years lived (nax) between ages x and x+n by those dying in the interval"
"CSV format","Life Tables",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Life_Table_Complete_Medium_Both_1950-2023.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Life_Table_Complete_Medium_Both_1950-2023.csv.gz","Single age life tables up to age 100 - Both Sexes. Only medium is available."
"CSV format","Life Tables",,"assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Life_Table_Complete_Medium_Both_2024-2100.csv.gz","https://population.un.org/wpp/assets/Excel Files/1_Indicator (Standard)/CSV_FILES/WPP2024_Life_Table_Complete_Medium_Both_2024-2100.csv.gz","Single age life tables up to age 100 - Both Sexes. Only medium is available."
