project_location_name,wpp_location_name,wpp_matched,year,LocID,ISO3_code,wpp_population_20plus,wpp_male_population_20plus,wpp_female_population_20plus
American Samoa,American Samoa,True,2023,16,ASM,29704.0,14985.0,14725.0
American Samoa,American Samoa,True,2050,16,ASM,27222.0,13197.0,14030.0
Cambodia,Cambodia,True,2023,116,KHM,10571746.000000002,5037801.0,5533949.000000001
Cambodia,Cambodia,True,2050,116,KHM,15304979.0,7435076.0,7869900.0
China,China,True,2023,156,CHN,1105100641.0,555174684.0,549925959.0
China,China,True,2050,156,CHN,1093912174.0,551126631.0,542785546.0
Cook Islands,Cook Islands,True,2023,184,COK,9526.0,4546.0,4983.0
Cook Islands,Cook Islands,True,2050,184,COK,7098.0,3295.0,3806.0
Democratic People's Republic of Korea,Dem. People's Republic of Korea,True,2023,408,PRK,19742730.0,9635032.0,10107703.0
Democratic People's Republic of Korea,Dem. People's Republic of Korea,True,2050,408,PRK,20471676.0,10066478.0,10405196.0
Fiji,Fiji,True,2023,242,FJI,590216.0,290043.0,300171.0
Fiji,Fiji,True,2050,242,FJI,710232.0,345548.0,364686.00000000006
Guam,Guam,True,2023,316,GUM,111274.0,55979.0,55293.0
Guam,Guam,True,2050,316,GUM,137721.0,68191.0,69529.0
Indonesia,Indonesia,True,2023,360,IDN,187999412.0,93439533.0,94559877.0
Indonesia,Indonesia,True,2050,360,IDN,238068931.0,117900849.99999999,120168081.0
Kiribati,Kiribati,True,2023,296,KIR,74406.0,34949.0,39461.0
Kiribati,Kiribati,True,2050,296,KIR,116957.00000000001,56577.0,60380.0
Lao People's Democratic Republic,Lao People's Democratic Republic,True,2023,418,LAO,4591264.0,2286711.0000000005,2304558.0
Lao People's Democratic Republic,Lao People's Democratic Republic,True,2050,418,LAO,6945339.0,3438561.0,3506777.0
Malaysia,Malaysia,True,2023,458,MYS,24444551.0,12878760.0,11565794.0
Malaysia,Malaysia,True,2050,458,MYS,34671248.99999999,17818662.0,16852591.0
Maldives,Maldives,True,2023,462,MDV,389919.0,253934.0,135987.0
Maldives,Maldives,True,2050,462,MDV,488497.0,288203.0,200299.0
Marshall Islands,Marshall Islands,True,2023,584,MHL,20662.0,10482.0,10185.0
Marshall Islands,Marshall Islands,True,2050,584,MHL,15809.0,7764.0,8050.000000000001
Mauritius,Mauritius,True,2023,480,MUS,991761.0,497272.99999999994,494489.0
Mauritius,Mauritius,True,2050,480,MUS,931387.0,451408.0,479977.00000000006
Micronesia (Federated States of),Micronesia (Fed. States of),True,2023,583,FSM,64795.99999999999,31543.0,33250.0
Micronesia (Federated States of),Micronesia (Fed. States of),True,2050,583,FSM,84150.0,40900.0,43249.0
Myanmar,Myanmar,True,2023,104,MMR,36432335.0,17880210.0,18552126.0
Myanmar,Myanmar,True,2050,104,MMR,43498367.0,21150293.0,22348075.0
Nauru,Nauru,True,2023,520,NRU,6202.0,3111.0,3094.0
Nauru,Nauru,True,2050,520,NRU,9602.0,4793.0,4814.0
Niue,Niue,True,2023,570,NIU,1246.0,598.0,653.0
Niue,Niue,True,2050,570,NIU,1348.0,629.0,723.0
Northern Mariana Islands,Northern Mariana Islands,True,2023,580,MNP,31087.0,16403.0,14687.0
Northern Mariana Islands,Northern Mariana Islands,True,2050,580,MNP,32490.000000000004,17040.0,15456.0
Palau,Palau,True,2023,585,PLW,13272.0,7252.0,6029.0
Palau,Palau,True,2050,585,PLW,12110.999999999998,6282.0,5834.0
Papua New Guinea,Papua New Guinea,True,2023,598,PNG,5844505.0,2981449.0,2863057.0
Papua New Guinea,Papua New Guinea,True,2050,598,PNG,9771117.0,4886910.0,4884207.0
Philippines,Philippines,True,2023,608,PHL,70869805.0,34915010.0,35954794.0
Philippines,Philippines,True,2050,608,PHL,98921970.0,48312061.0,50609907.0
Samoa,Samoa,True,2023,882,WSM,111508.0,54923.0,56588.0
Samoa,Samoa,True,2050,882,WSM,158573.0,78840.0,79739.0
Seychelles,Seychelles,True,2023,690,SYC,94310.0,53410.0,40898.0
Seychelles,Seychelles,True,2050,690,SYC,110270.0,58772.0,51499.0
