project_location_name,wpp_location_name,wpp_matched,year,LocID,ISO3_code,wpp_male_exposure_20plus,wpp_female_exposure_20plus,wpp_exposure_20plus
American Samoa,American Samoa,True,2023,16,ASM,15208.0,14944.0,30151.0
American Samoa,American Samoa,True,2050,16,ASM,13229.0,14059.999999999998,27290.0
Cambodia,Cambodia,True,2023,116,KHM,5041267.0,5537537.0,10578808.0
Cambodia,Cambodia,True,2050,116,KHM,7441097.0,7875445.0,15316544.0
China,China,True,2023,156,CHN,555286469.0,550035605.0,1105322076.0
China,China,True,2050,156,CHN,551133618.0,542803377.0,1093936995.0
Cook Islands,Cook Islands,True,2023,184,COK,4651.0,5086.0,9738.999999999998
Cook Islands,Cook Islands,True,2050,184,COK,3297.0,3807.0,7101.0
Democratic People's Republic of Korea,Dem. People's Republic of Korea,True,2023,408,PRK,9635423.0,10108085.000000002,19743508.0
Democratic People's Republic of Korea,Dem. People's Republic of Korea,True,2050,408,PRK,10066297.0,10405640.0,20471939.000000004
Fiji,Fiji,True,2023,242,FJI,290561.0,300704.0,591265.0
Fiji,Fiji,True,2050,242,FJI,345986.0,365093.0,711081.0
Guam,Guam,True,2023,316,GUM,56077.0,55391.0,111466.0
Guam,Guam,True,2050,316,GUM,68236.0,69582.00000000001,137820.0
Indonesia,Indonesia,True,2023,360,IDN,93446914.0,94567124.0,188014036.0
Indonesia,Indonesia,True,2050,360,IDN,117901874.0,120173893.0,238075769.0
Kiribati,Kiribati,True,2023,296,KIR,35041.0,39555.0,74597.0
Kiribati,Kiribati,True,2050,296,KIR,56643.0,60434.0,117080.0
Lao People's Democratic Republic,Lao People's Democratic Republic,True,2023,418,LAO,2288678.0,2306490.0,4595166.0
Lao People's Democratic Republic,Lao People's Democratic Republic,True,2050,418,LAO,3440647.0,3508974.0,6949620.0
Malaysia,Malaysia,True,2023,458,MYS,12843324.0,11530844.0,24374170.000000004
Malaysia,Malaysia,True,2050,458,MYS,17799896.0,16833830.0,34633729.0
Maldives,Maldives,True,2023,462,MDV,254718.0,136366.0,391084.0
Maldives,Maldives,True,2050,462,MDV,288528.0,200136.0,488664.0
Marshall Islands,Marshall Islands,True,2023,584,MHL,10841.0,10532.0,21373.0
Marshall Islands,Marshall Islands,True,2050,584,MHL,7810.0,8092.000000000001,15901.0
Mauritius,Mauritius,True,2023,480,MUS,498044.0,494860.0,992906.0
Mauritius,Mauritius,True,2050,480,MUS,451635.0,480211.0,931843.0
Micronesia (Federated States of),Micronesia (Fed. States of),True,2023,583,FSM,31764.0,33469.0,65230.00000000001
Micronesia (Federated States of),Micronesia (Fed. States of),True,2050,583,FSM,40988.0,43337.0,84328.0
Myanmar,Myanmar,True,2023,104,MMR,17887095.0,18558881.0,36445979.0
